time_hrs,B_in_out,B_squash,B_left_right
0.000000,-0.00004,0.00012,-0.00004
0.016667,0.08646,0.08391,-0.03040
0.033333,0.00767,0.12479,-0.03727
0.050000,-0.08263,0.04362,-0.01256
0.066667,-0.08146,-0.03137,0.05063
0.083333,-0.01226,-0.04921,0.06346
0.100000,0.08533,-0.04698,0.00329
0.116667,0.10766,0.00430,-0.02787
0.133333,0.04327,0.02192,-0.04957
0.150000,-0.04842,-0.03463,-0.05058
0.166667,-0.14536,-0.05608,0.00407
0.183333,-0.10262,-0.01191,0.03272
0.200000,0.04964,0.03284,0.05705
0.216667,0.10451,0.06668,0.04221
0.233333,0.15141,0.08460,-0.03034
0.250000,0.09328,0.06727,-0.03462
0.266667,-0.16398,0.00388,-0.05093
0.283333,-0.19920,-0.15219,-0.05510
0.300000,-0.01240,-0.21461,0.07746
0.316667,0.05371,0.02101,0.11419
0.333333,0.06797,0.18990,-0.04185
0.350000,0.10258,0.05517,-0.10570
0.366667,0.05180,-0.03174,0.02555
0.383333,-0.08203,0.00440,0.09367
0.400000,-0.12904,-0.01775,-0.02736
0.416667,-0.01340,-0.03217,-0.07772
0.433333,0.07827,-0.00723,0.01496
0.450000,0.05691,0.01921,0.01238
0.466667,0.01135,0.02559,-0.01505
0.483333,-0.03854,-0.01028,0.03413
0.500000,-0.03397,-0.00264,0.00787
0.516667,0.01398,0.00316,-0.00909
0.533333,-0.00427,-0.03878,0.02635
0.550000,-0.01171,-0.01629,0.00769
0.566667,0.00742,0.02467,-0.01899
0.583333,-0.00247,0.03753,-0.06047
0.600000,0.01195,0.01401,-0.01962
0.616667,0.01902,-0.03026,0.07080
0.633333,0.00780,-0.00646,0.01038
0.650000,0.00301,-0.00167,-0.02878
0.666667,0.00128,-0.01780,-0.00108
0.683333,-0.00863,0.02290,-0.02255
0.700000,-0.04796,0.01754,0.01670
0.716667,-0.03993,-0.00772,0.07012
0.733333,0.01351,0.00018,0.01975
0.750000,0.04982,-0.03420,-0.03331
0.766667,0.05295,-0.02289,-0.03077
0.783333,-0.00047,0.05236,-0.06743
0.800000,-0.01890,0.02249,-0.05602
