time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
1.4583,107.693,-23.9015,104.626,16077.3,7393.25,651492
1.4750,107.755,-23.9349,104.658,16159.5,7437.24,689710
1.4917,107.783,-23.9078,104.676,16246.1,7465.48,636364
1.5083,107.831,-23.9734,104.697,16272.1,7484.9,640635
1.5250,107.73,-23.9101,104.583,16245.6,7540.05,651057
1.5417,107.479,-23.9321,104.316,16136.7,7518.16,649211
1.5583,107.409,-23.9713,104.23,16184.6,7525.45,693472
1.5750,107.365,-23.9958,104.169,16237.8,7530.44,681020
1.5917,107.274,-24.0882,104.05,16324.1,7531.09,648817
1.6083,107.134,-24.0778,103.903,16196.6,7535.55,620466
1.6250,107.144,-24.0944,103.893,16382.2,7590.07,651462
1.6417,107.19,-24.1668,103.909,16443.2,7641.25,677078
1.6583,107.175,-24.2229,103.873,16402.8,7554.6,671529
1.6750,107.207,-24.2102,103.895,16487.1,7630.59,638034
1.6917,107.394,-24.147,104.079,16673.7,7695.57,648534
1.7083,107.199,-24.0968,103.873,16642.2,7648.84,655797
1.7250,107.022,-24.0733,103.681,16558.8,7666.79,675739
1.7417,106.873,-24.0886,103.516,16544.4,7626.74,659719
1.7583,106.733,-24.0706,103.375,16616.9,7651.18,670648
1.7750,106.553,-24.047,103.189,16546.5,7632.64,687876
1.7917,106.199,-23.9907,102.831,16386.5,7540.74,747488
1.8083,105.987,-24.108,102.581,16315.5,7474.07,717597
1.8250,106.021,-24.0031,102.598,16502.6,7531.53,688870
1.8417,106.246,-24.0358,102.784,16674,7647.25,705135
1.8583,106.499,-23.9944,103.041,16890.5,7690.94,682530
1.8750,106.404,-24.0082,102.934,16746.9,7674.17,673927
1.8917,106.222,-24.0559,102.73,16604.2,7583.59,706160
1.9083,106.205,-24.1109,102.693,16584.6,7539.83,659810
1.9250,106.144,-24.1246,102.614,16671,7530.82,695580
1.9417,105.973,-24.0716,102.441,16571.7,7499.94,686604
1.9583,105.728,-23.9919,102.205,16456.6,7448.9,714185
1.9750,105.466,-23.9892,101.932,16365.4,7348.82,741423
1.9917,105.084,-23.9658,101.539,16206.7,7241.13,652315
2.0083,104.916,-23.9659,101.354,16159.6,7201.79,701151
2.0250,104.763,-23.8216,101.216,16121.6,7186.96,717080
2.0417,104.571,-23.7699,101.019,16147.9,7130.61,715580
2.0583,104.378,-23.7395,100.818,16101,7076.78,655506
2.0750,104.288,-23.7436,100.723,16033,7036.14,669589
2.0917,104.271,-23.7798,100.684,16052.6,7051.63,684224
2.1083,104.125,-23.778,100.526,16001.6,6983.88,681611
2.1250,104.088,-23.804,100.476,16095.1,6973.52,652186
2.1417,104.112,-23.8685,100.483,16035.1,6918.75,665504
2.1583,104.173,-23.9378,100.529,16017.2,6907.43,666485
2.1750,104.118,-23.9596,100.46,16001.6,6862.09,669761
2.1917,103.919,-23.9965,100.251,15947.5,6803.72,650847
2.2083,103.783,-23.9843,100.109,15844.2,6772.54,630986
2.2250,103.767,-23.997,100.065,15871.9,6742.88,656241
2.2417,103.706,-23.9643,99.9975,15912.8,6720.58,636188
2.2583,103.668,-23.9476,99.9629,15876.2,6707.2,677217
2.2750,103.613,-23.8916,99.9193,15822.8,6682.28,695905
2.2917,103.614,-23.9321,99.9024,15833.1,6724.48,726106
2.3083,103.474,-23.9823,99.7486,15776.6,6655.5,691108
2.3250,103.422,-24.0471,99.6816,15793.9,6671.68,658559
2.3417,103.402,-24.0765,99.6462,15728.2,6659.41,641637
2.3583,103.356,-24.1133,99.5823,15763.2,6705.23,616510
2.3750,103.421,-24.1583,99.6232,15795.9,6727.33,595883
2.3917,103.372,-24.1428,99.5607,15730.3,6783.69,645922
2.4083,103.309,-24.1395,99.4852,15765.5,6837.25,643465
2.4250,103.206,-24.1586,99.3732,15661.2,6792.49,609070
2.4417,103.107,-24.2267,99.2473,15643.7,6843.58,614889
2.4583,103.057,-24.2293,99.1826,15567.7,6862.4,629703
2.4750,103.021,-24.1907,99.1549,15626.7,6933.19,658117
2.4917,102.841,-24.1987,98.948,15570.3,6964.27,708060
2.5083,102.842,-24.3074,98.8934,15629.8,6994.19,719590
2.5250,102.698,-24.2562,98.7442,15521,7041.61,754986
2.5417,102.515,-24.2763,98.5401,15566.4,7056.88,746538
2.5583,102.523,-24.1619,98.5392,15616.3,7089.74,745083
2.5750,102.373,-24.0561,98.3959,15610.9,7184.31,728893
2.5917,102.168,-24.0039,98.1907,15673.4,7194.41,689370
2.6083,101.967,-23.9433,97.976,15464.2,7140.81,719514
2.6250,101.717,-23.9302,97.7219,15364.4,7141.59,650888
2.6417,101.485,-23.9498,97.4998,15331.8,7094.58,676990
2.6583,101.259,-23.88,97.2563,15316.3,7066.54,726904
2.6750,101.032,-23.9088,97.0025,15275.3,7054.56,653626
2.6917,100.804,-23.9944,96.7637,15185.9,7010.11,719090
2.7083,100.537,-24.0132,96.4943,15063.6,7001.73,704534
2.7250,100.37,-23.9778,96.3116,15099.2,6968.1,678388
2.7417,100.236,-23.9495,96.1724,15179.1,6987.82,719835
2.7583,100.208,-24.0912,96.1059,15123.5,6979.4,678507
2.7750,100.165,-24.0888,96.035,15297.9,6993.27,694596
2.7917,100.199,-24.0146,96.068,15427.4,7032.38,705344
2.8083,100.166,-23.9577,96.0611,15444.4,7100.96,809627
2.8250,100.006,-23.9906,95.8949,15426.4,7004.85,662143
2.8417,100.028,-24.0248,95.8961,15299.2,6916.23,706193
2.8583,99.9349,-24.0623,95.7812,15172.2,6844.33,679794
2.8750,99.7584,-24.0684,95.5872,15089.9,6817.34,608187
2.8917,99.7176,-24.0818,95.527,15060.9,6729.15,580556
2.9083,99.6034,-24.1239,95.3805,15078.4,6690.76,551386
2.9250,99.5366,-24.0749,95.3181,15095.8,6734.79,537091
2.9417,99.5057,-24.0064,95.2896,14982.8,6731.93,535088
2.9583,99.4121,-23.962,95.2065,15096.2,6649.3,525591
2.9750,99.4562,-23.9254,95.2595,15087.7,6668.53,558780
2.9917,99.3377,-23.917,95.1273,14997.3,6618.64,536506
3.0083,99.2247,-23.8721,95.0076,14978.4,6595.95,550958
3.0250,99.0961,-23.8229,94.8821,14909.3,6541.33,537034
3.0417,98.959,-23.8332,94.7302,14846,6515.99,569887
3.0583,98.7714,-23.7992,94.5354,14716.9,6509.33,532929
3.0750,98.7034,-23.7869,94.4699,14676.9,6522.5,578988
3.0917,98.6078,-23.7727,94.3644,14644.9,6509.34,562830
3.1083,98.5546,-23.73,94.304,14557.4,6461.06,531504
3.1250,98.5143,-23.7204,94.2565,14562.5,6448.3,575862
3.1417,98.4807,-23.7738,94.2101,14543.4,6471.86,574857
3.1583,98.4257,-23.8385,94.1296,14550.9,6487.96,611941
3.1750,98.2786,-23.8484,93.9579,14506.1,6484.23,636819
3.1917,98.2537,-23.8691,93.9202,14524.7,6472.12,594316
3.2083,98.1369,-23.835,93.8128,14415.3,6476.61,662229
3.2250,98.0418,-23.8789,93.7008,14463,6447.86,605940
3.2417,98.0122,-23.9251,93.643,14387.7,6443.68,663119
3.2583,97.9787,-23.9439,93.5999,14348.8,6489.6,652591
3.2750,97.9047,-23.7229,93.5804,14407.2,6534.37,664352
3.2917,97.0666,-23.4666,92.8032,14298.5,6515.03,714515
3.3083,97.0017,-23.6553,92.6635,14101.1,6422.76,638231
3.3250,97.0639,-23.6125,92.708,14181.5,6508.13,687925
3.3417,97.0746,-23.7117,92.7021,14382.6,6593.17,732863
3.3583,97.0092,-23.9218,92.5906,14275.8,6583.49,738178
3.3750,96.8999,-23.9785,92.4363,14123.7,6529,709592
3.3917,96.6672,-24.1283,92.1602,14070.1,6537.92,735025
3.4083,96.5062,-24.1539,91.9784,13950.6,6544.07,719513
3.4250,96.4549,-24.2858,91.8692,13858,6573.58,731529
3.4417,96.5993,-24.3122,92.0131,13988.4,6599.09,720721
3.4583,96.6732,-24.3285,92.1125,14116.9,6645.83,711392
3.4750,96.5905,-24.4141,92.0004,13954.8,6625.98,710802
3.4917,96.5491,-24.5951,91.8831,13854.2,6556.62,719712
3.5083,96.4018,-24.7229,91.6773,13823.1,6577.17,714263
3.5250,96.1991,-24.6215,91.5042,13814.2,6565.99,722161
3.5417,96.0634,-24.5358,91.3721,13958.8,6620.82,684155
3.5583,95.9017,-24.4974,91.1978,13945,6645.11,701721
3.5750,95.8098,-24.5011,91.0861,13811.5,6640.84,701966
3.5917,95.6973,-24.6826,90.9233,13750.6,6585.85,657079
3.6083,95.6905,-24.7695,90.8713,13697,6506.8,681982
3.6250,95.5371,-24.862,90.6744,13652.6,6446.13,701776
3.6417,95.3783,-24.9054,90.4897,13477.7,6358.27,677211
3.6583,95.236,-24.8629,90.3377,13517.6,6364,639011
3.6750,95.1944,-24.8056,90.2901,13479.2,6326.65,671685
3.6917,95.0006,-24.6072,90.1514,13397,6280.2,662104
3.7083,94.9726,-24.5535,90.1396,13337.2,6219.37,679002
3.7250,94.809,-24.6983,89.9015,13279.5,6200.31,689812
3.7417,94.7455,-24.5608,89.8547,13318.9,6224.83,673327
3.7583,94.7597,-24.4247,89.9029,13403.9,6295.69,646377
3.7750,94.9408,-24.2613,90.1399,13627.2,6350.92,689901
3.7917,95.0155,-24.0344,90.2583,13772,6466.87,702938
3.8083,95.0488,-23.8998,90.3006,13893.5,6468.77,690091
3.8250,95.0688,-23.7672,90.348,14137.7,6556.89,665568
3.8417,95.4049,-23.6386,90.7248,14354,6763.05,650379
3.8583,95.9214,-23.5639,91.2502,14609.6,6955.15,665222
3.8750,96.3094,-23.6025,91.6434,14827.7,7066.22,713911
3.8917,96.2206,-23.706,91.5571,14894.8,7154.47,727417
3.9083,96.2468,-23.8284,91.5744,14928.7,7123.6,659665
3.9250,95.9974,-23.9664,91.2721,14855.6,7041.54,703701
3.9417,95.8087,-24.0873,91.0266,14861.4,6986.88,677476
3.9583,95.7516,-24.2475,90.9024,14919.8,6957.48,661842
3.9750,95.7117,-24.296,90.8261,15015.9,7011.25,675589
3.9917,95.7303,-24.2444,90.8515,15035.9,7071.12,674485
4.0083,95.663,-24.1793,90.7901,15100.1,7058.27,649089
4.0250,95.7796,-24.1656,90.8945,15189.4,7082.83,694682
4.0417,95.7633,-24.1938,90.8582,15319.2,7067.91,663056
4.0583,95.8033,-24.2414,90.8766,15290.9,7117.02,665647
4.0750,95.8514,-24.2355,90.9091,15370.4,7149.85,634089
4.0917,95.8052,-24.1424,90.8714,15472.2,7158.64,676717
4.1083,95.7644,-24.054,90.8485,15608.5,7148.61,670462
4.1250,95.7184,-23.9974,90.7996,15573.6,7121.6,642482
4.1417,95.6037,-23.9236,90.6823,15632,7154.81,665252
4.1583,95.5622,-23.9379,90.6292,15616.4,7114.21,714855
4.1750,95.5311,-23.9121,90.5988,15616,7045.18,666307
4.1917,95.3415,-23.8471,90.4059,15679.6,7024.44,665466
4.2083,95.1026,-23.8876,90.1338,15584.1,6974.91,635302
4.2250,95.0713,-24.0435,90.0438,15457.3,6915.56,654998
4.2417,95.0778,-24.0679,90.0228,15600.3,6854.3,679693
