time, L, magnetic local time
3.940858777777777533e+01,5.001791536069210231e+00,2.282804883501430027e+01
4.051044499999999715e+01,6.000113755833333506e+00,2.374253727516666501e+01
4.292142611111110995e+01,5.998491681267146269e+00,1.278209461835476679e+00
4.400956138888889058e+01,4.997733133333333910e+00,2.153701859866666624e+00
4.470994527777777705e+01,3.995109185939998309e+00,2.978339710361030068e+00
4.526604861111110978e+01,2.995298124000000062e+00,4.027712287099999955e+00
4.573799000000000348e+01,1.996803170500000002e+00,5.758087599566666270e+00
4.679332638888888596e+01,2.004817011776954594e+00,1.871510854104928612e+01
4.724426166666666660e+01,3.005863450000000103e+00,2.056435483875000259e+01
4.777935916666666571e+01,4.003595770666666276e+00,2.171730295200000072e+01
4.844071111111111350e+01,5.003966110819516366e+00,2.263156192913386278e+01
4.936553222222222104e+01,6.001944388545001452e+00,2.356234734316531743e+01
5.222699583333333351e+01,5.998970829999999310e+00,1.955113940266666628e+00
5.322797249999999991e+01,4.996499104000000635e+00,3.003047740266666654e+00
5.388326944444444422e+01,3.996843568350725295e+00,3.976272033694014940e+00
5.438225916666666393e+01,2.994771661692491982e+00,5.143826139110919016e+00
5.478806888888888693e+01,1.994254518833333378e+00,6.888946968016666617e+00
5.576222583333333205e+01,2.000598373333333235e+00,1.954928954613333403e+01
5.624322861111111393e+01,3.003376376999999930e+00,2.155408525420000032e+01
5.681139694444444643e+01,4.001696040000000565e+00,2.266827020319999875e+01
5.751784944444444392e+01,5.000462841000000047e+00,2.350060226600000135e+01
5.856810583333333398e+01,6.001645678456291932e+00,3.322234214021586585e-01
6.091329111111111416e+01,5.998257302840194427e+00,1.765601183235002258e+00
6.197438555555555695e+01,4.998745568500000402e+00,2.567146456433333501e+00
6.269281138888889160e+01,3.998331055742049944e+00,3.377017832223328853e+00
6.327296444444444745e+01,2.997017217499999830e+00,4.485904519750000041e+00
6.377496916666666493e+01,1.995615876666666733e+00,6.571780582733333098e+00
6.472212111111110744e+01,2.005127005999999934e+00,1.836935233459999850e+01
6.516404555555556044e+01,3.002519510166666628e+00,2.040129399879999994e+01
6.569313083333332770e+01,4.004931577337034199e+00,2.160518458467036496e+01
6.637853638888888952e+01,5.000370099333332874e+00,2.252379669566666820e+01
6.747430194444444851e+01,6.001803424999999415e+00,2.348412449199999941e+01
