time,L,MLT
0.2358982557635638,6.0,20.88218266926677
3.0035289453545126,6.0,23.1714295443038
3.9394715978824,5.0,0.1517294142145766
4.602750012579748,4.0,1.1062147532697062
5.136902324247032,3.0,2.2965121146828844
5.576260287193973,2.0,4.143104942372879
6.582665246835095,2.0,16.93307900514334
7.0089706272250325,3.0,18.756552377740302
7.530779823897909,4.0,19.90980946930497
8.195094476066489,5.0,20.81325406129408
9.183324749544626,6.0,21.717069878688527
11.931793563542051,6.0,23.545404653588275
12.887194953538948,5.0,0.3279288585409253
13.52859127973834,4.0,1.0912484048184596
14.04465763769363,3.0,2.071435843660356
14.50419416052793,2.0,3.762266930386741
15.535259722222223,2.0,16.102606722
15.965811954771883,3.0,17.86447129579005
16.461338007687843,4.0,18.93855637663185
17.082163936323994,5.0,19.777895641319176
17.99765114677086,6.0,20.619185583024844
20.96067510683761,6.0,22.700758893076923
21.90198600060089,5.0,23.56807339416704
22.54094926691025,4.0,0.4126719612141645
23.049775788704217,3.0,1.4636122548476451
23.47817632046741,2.0,3.099441001690413
24.54253406825637,2.0,16.42567451930356
24.994797536107008,3.0,18.178460456720828
25.54136042448642,4.0,19.31479226298584
26.229379681883884,5.0,20.25209289845332
27.23207665038077,6.0,21.26136288026424
29.852776309649585,6.0,23.4501852503962
30.825707008368664,5.0,0.4016289423255816
31.507647602119693,4.0,1.3136266829000365
32.06880907362137,3.0,2.509469583825816
32.54879679867444,2.0,4.625502783934926
33.51115299779062,2.0,16.73826110997556
33.90129251554671,3.0,18.469603612617178
34.367101557326144,4.0,19.567393229599755
34.94967296810514,5.0,20.404878873093946
35.7471455210388,6.0,21.165189050887573
39.098908125774585,6.0,23.337042315883405
39.90456806319395,5.0,0.0376622719935429
40.49975763879055,4.0,0.788017092119077
40.98902678809048,3.0,1.7643725119760476
41.422627924491934,2.0,3.390873058056265
42.4631836583471,2.0,16.01753568054137
42.907308601559016,3.0,17.78265533056431
43.434034510458105,4.0,18.877683048087047
44.102280518613576,5.0,19.75071769155389
45.1032077925387,6.0,20.6650074662781
47.87587876764697,6.0,22.76356490880748
48.81968282513365,5.0,23.697851793933985
49.470368257401,4.0,0.6035526262975779
49.994923863056506,3.0,1.7324662060849596
50.433425041997545,2.0,3.4817166492283937
51.47875370047707,2.0,16.751231354183343
51.937937420063946,3.0,18.55851212769784
52.49034158496732,4.0,19.71301168897059
53.19137482719421,5.0,20.66130626953125
54.26428390549147,6.0,21.695093218993527
56.664432879031466,6.0,23.49645022969216
57.70302111581921,5.0,0.385427593220339
58.38288489811909,4.0,1.2002206177105836
58.93625277589888,3.0,2.2588165269016702
59.44002982102618,2.0,4.2580089900156
60.43405322912721,2.0,16.348575576623375
60.83510518445685,3.0,18.065804624968283
61.29509748657267,4.0,19.129427964652567
61.86304234755068,5.0,19.94311667181467
62.64384410073711,6.0,20.69243679110591
65.98826584890966,6.0,22.925512133956385
66.82063981997882,5.0,23.671616548307185
67.42644717390519,4.0,0.4530267931369377
67.918767320594,3.0,1.450718281411126
68.34564155312697,2.0,3.057339370214868
69.38983528832107,2.0,16.0123428905302
69.85233931545822,3.0,17.851546512630016
70.39566999635896,4.0,18.969402496950128
71.07432433533525,5.0,19.8631922397388
72.04829117458257,6.0,20.79553229467085
74.8143436905849,6.0,23.06589572967403
75.75118389340967,5.0,0.0422037142857136
76.41451646812921,4.0,0.9951069830697314
76.94768465498603,3.0,2.183923656382223
77.3855064017372,2.0,4.025819112262104
78.38953647660455,2.0,16.811587311490754
78.81679412046194,3.0,18.646983466156897
79.34136740922993,4.0,19.80696728005608
80.01092252662737,5.0,20.716575999534665
81.01512577056397,6.0,21.63297529005059
83.71163076081154,6.0,23.42931253278688
84.6843506235081,5.0,0.2213006699595874
85.33146581063362,4.0,0.986544121469888
85.85150531841282,3.0,1.96904712254902
86.31480541459084,2.0,3.6728167931925264
87.34315932172203,2.0,15.99845200897532
87.772412329932,3.0,17.76845369931973
88.26738485883423,4.0,18.8496549790164
88.88946777925455,5.0,19.695396869001296
89.81156132596053,6.0,20.544913195451656
92.75766582988268,6.0,22.6139677507764
93.70513413359494,5.0,23.482316073300755
94.34602351960493,4.0,0.3245373585225345
94.85630867633198,3.0,1.372479408470326
95.2862710915436,2.0,3.0065435209392404
96.35177268356358,2.0,16.33303490277778
96.80389246196276,3.0,18.083790442797863
97.35064524214448,4.0,19.21805260641399
98.03929368896806,5.0,20.15207255391924
99.04249556715808,6.0,21.155631960687963
101.66564818983676,6.0,23.33732790995261
102.63942812799858,5.0,0.2905091936685285
103.32255361165602,4.0,1.2074839743401748
103.8839407637036,3.0,2.412258961192176
104.3604281726268,2.0,4.53029322031329
105.31798127134154,2.0,16.622103775149238
105.70737256997133,3.0,18.3658517784522
106.17492956250432,4.0,19.473910947728687
106.76262922235588,5.0,20.320174106655973
107.57491379991188,6.0,21.092776446613787
110.87620909582284,6.0,23.230131948733785
111.69912306572748,5.0,23.938905505409
112.30105607571856,4.0,0.6911827258687262
112.79449653363774,3.0,1.6681887145604395
113.2314873538478,2.0,3.2993844759776176
114.27240981934236,2.0,15.923529642259943
114.71516879225668,3.0,17.6915069695752
115.2420898764999,4.0,18.79252279943899
115.91240124807784,5.0,19.67115339375898
116.91905021502036,6.0,20.59102475587248
119.68338466445216,6.0,22.67566706274206
120.62789260950696,5.0,23.604666381549485
121.27894282407404,4.0,0.5058029298611111
121.80363680536922,3.0,1.6301954562106464
122.24234300269714,2.0,3.374727871676017
123.2877215502568,2.0,16.641223040842537
123.74743257893454,3.0,18.450392474996324
124.30098294596314,4.0,19.60476471148873
125.00388635292354,5.0,20.55282326042177
126.07823447311984,6.0,21.58610506716418
128.4750384326845,6.0,23.38858872627737
129.51161015563437,5.0,0.2780561446808509
130.19303954009578,4.0,1.0958798556925309
130.74895767189602,3.0,2.1625579431500466
131.25567306812627,2.0,4.195441107479572
132.1019981378117,2.0,15.22355448975356
132.6413797112394,3.0,17.966685184642586
133.10142107659013,4.0,19.03939018759501
133.67203624828116,5.0,19.86100688216933
134.4627272133347,6.0,20.620493848031508
137.7736166586998,6.0,22.83074179541109
138.61857361167716,5.0,23.583083966666663
139.22923998323364,4.0,0.3656853960848285
139.72466870535033,3.0,1.363460207934336
140.15427861470337,2.0,2.973110872171102
141.20073642056786,2.0,15.931641313621965
141.6624951074447,3.0,17.76721890085824
142.20601008939454,4.0,18.88605631652863
142.8862532687867,5.0,19.780933282700417
143.86321861353127,6.0,20.71228902481411
146.62397151632518,6.0,22.962148020989503
147.5629979994439,5.0,23.93582843676069
148.2267057472281,4.0,0.8877810983722575
148.7589931036556,3.0,2.075681436363636
149.19545932088928,2.0,3.913672210120481
150.19724785274272,2.0,16.69009198283562
150.62583353325738,3.0,18.538067125
151.1535260011771,4.0,19.705223435797667
151.82882538638262,5.0,20.621198661654137
152.85021945046736,6.0,21.55080499045967
155.49140457888328,6.0,23.31330221416525
156.48191300115846,5.0,0.1155751006346333
157.1348264123027,4.0,0.883398093438681
157.65899439659017,3.0,1.869255498543972
158.12627227060716,2.0,3.589196072752809
159.15166209541275,2.0,15.891804019163764
159.57994454402382,3.0,17.671895398373984
160.07481212187318,4.0,18.760942508180623
160.69883170942967,5.0,19.61385601918884
161.62939756765545,6.0,20.47298193631029
164.55299762925688,6.0,22.52667809019608
165.50782472147785,5.0,23.397569795891023
166.1510397013786,4.0,0.2384698477157359
166.66307159202097,3.0,1.2844799611618212
167.0947792380154,2.0,2.918434422552363
