time,L,MLT,number density,bmag,wavemags
5.755555555555555425e-02,5.854060391127655194e+00,2.072650450440475467e+01,8.425800323486328125e+01,1.531467588730465366e+02,1.065823148677461785e-04
6.058444444444444771e-02,5.856684620802685259e+00,2.072919179555466229e+01,8.425900268554687500e+01,1.527596722236329185e+02,1.423410905120724851e-04
6.361305555555556157e-02,5.859308609811017199e+00,2.073187884025453798e+01,8.426016987737020258e+01,1.523010217167968392e+02,7.652626313057833175e-04
6.664222222222222769e-02,5.861911337090972118e+00,2.073455956464107430e+01,8.426001679484049589e+01,1.520687610478515808e+02,6.504531980637000450e-04
6.967138888888889381e-02,5.864508544252793776e+00,2.073723855929224413e+01,8.426119864527385062e+01,1.517506701708985588e+02,8.015636457200945100e-04
7.270027777777778033e-02,5.867105513247980575e+00,2.073991730827678381e+01,8.426176083628337210e+01,1.513433917216796658e+02,5.689186660968659952e-04
7.572944444444444645e-02,5.869702720409802232e+00,2.074259630292795720e+01,8.426256306203205781e+01,1.509326903359373659e+02,6.671489255997987413e-04
7.875861111111111257e-02,5.872299927571623890e+00,2.074527529757912703e+01,8.643470373789467942e+01,1.508529225244137706e+02,9.634061600458566519e-04
8.178805555555555828e-02,5.874889855000000161e+00,2.074795212149999912e+01,8.426407273228963390e+01,1.507432887304687767e+02,3.283559540442338148e-04
8.481694444444444481e-02,5.877461381666666540e+00,2.075062269283333549e+01,8.426410971196492028e+01,1.505010080810544935e+02,6.731537997648168832e-04
8.784638888888889052e-02,5.880033380000000420e+00,2.075329375400000131e+01,8.426529139582315509e+01,1.503411060683593519e+02,6.416762809615233478e-04
9.087611111111111584e-02,5.882605614166666719e+00,2.075596506008333364e+01,8.426647291310628418e+01,1.499442882744139638e+02,9.515244347503093534e-04
9.390583333333332727e-02,5.885177848333333017e+00,2.075863636616666597e+01,8.426799774169921875e+01,1.498811787304682070e+02,9.562660774517560500e-04
9.693555555555555259e-02,5.887750082500000204e+00,2.076130767225000184e+01,7.653916270955403434e+01,1.497223749316404167e+02,2.471427045518816796e-04
9.996527777777777790e-02,5.890300666929774387e+00,2.076397233927530550e+01,8.410699780782061907e+01,1.495161532412109011e+02,2.455739514425400033e-04
1.029947222222222236e-01,5.892845400594453054e+00,2.076663503952201140e+01,7.811047838083902661e+01,1.487557664062499612e+02,9.317879409187982537e-05
1.060244444444444489e-01,5.895390367592495906e+00,2.076929798391874726e+01,7.654077115885417015e+01,1.486456312988282775e+02,5.968080572195904980e-04
1.090536111111111151e-01,5.897934867923811275e+00,2.077196044001541964e+01,7.654156788762411168e+01,1.484187821308592277e+02,3.640371674992951933e-04
1.120833333333333265e-01,5.900479834921853239e+00,2.077462338441215906e+01,7.654199981689453125e+01,1.480725728974607591e+02,4.035210215043288093e-04
1.151119444444444473e-01,5.903015898374231796e+00,2.077728312040089520e+01,7.654306639734903683e+01,1.482368546845702895e+02,1.149031107994436104e-03
1.181411111111111134e-01,5.905533135546466639e+00,2.077993794230521374e+01,7.654311453755695993e+01,1.480018699960937454e+02,7.966321434291462984e-04
1.211702777777777795e-01,5.908050372718701482e+00,2.078259276420953583e+01,7.654429638799031466e+01,1.477862672187500266e+02,3.965146248270150437e-04
1.241991666666666660e-01,5.910567379057632742e+00,2.078524734266388663e+01,7.654447895431518134e+01,1.476374888623049060e+02,4.284101671312705198e-04
1.272283333333333322e-01,5.913084616229867585e+00,2.078790216456820872e+01,7.654599761962890625e+01,1.473425639707032246e+02,3.109474394420764804e-04
1.302569444444444391e-01,5.915601391735496151e+00,2.079055649957259178e+01,7.654599761962890625e+01,1.470659967705078373e+02,4.795832769568143675e-04
1.332858333333333256e-01,5.918098299000000395e+00,2.079320476136666684e+01,7.654599761962890625e+01,1.468983961337889923e+02,5.232260403941761846e-04
1.363147222222222121e-01,5.920589863000000008e+00,2.079585134390000078e+01,7.654620867029825604e+01,1.469729575683600729e+02,7.723189329455800844e-04
1.393436111111110987e-01,5.923081427000000510e+00,2.079849792643333473e+01,7.654639123662312272e+01,1.468418641914069838e+02,4.285450929925424426e-04
1.423725000000000129e-01,5.925572991000000123e+00,2.080114450896666511e+01,7.654757325363159737e+01,1.465612703945317321e+02,5.404162897508788324e-04
1.454011111111111199e-01,5.928064326500000369e+00,2.080379084878333273e+01,7.654799652099609375e+01,1.461859733642582739e+02,8.951087929218507194e-04
1.484297222222222268e-01,5.930547309907902687e+00,2.080643499610130220e+01,7.654805476379394236e+01,1.459577710058596836e+02,4.333526489229522325e-04
1.514586111111111133e-01,5.933009796253933210e+00,2.080907394549102207e+01,7.654812223815918060e+01,1.459891797666018647e+02,6.847258743769687930e-04
1.544877777777777794e-01,5.935472508433267791e+00,2.081171313689737801e+01,7.654830603027343727e+01,1.460282213886711702e+02,6.046144275393650850e-04
1.575169444444444455e-01,5.937935220612601483e+00,2.081435232830373394e+01,8.049205954615274550e+01,1.460603453945310548e+02,4.031935047295249802e-04
1.605461111111111117e-01,5.940397932791936064e+00,2.081699151971008988e+01,7.654900360107421875e+01,1.459210272480467836e+02,1.910806903076195178e-04
1.635755555555555574e-01,5.942860870804573814e+00,2.081963095313308187e+01,7.654900360107421875e+01,1.460553698535159981e+02,3.803976593147602686e-04
1.666050000000000031e-01,5.945303829003102614e+00,2.082226453571699665e+01,8.399106454467778349e+01,1.458031976894533841e+02,5.649819784041207327e-04
1.696347222222222284e-01,5.947741543820513677e+00,2.082489675872640333e+01,7.654922264734904047e+01,1.457939086132811610e+02,3.692038001053513530e-04
1.726641666666666741e-01,5.950179035137895589e+00,2.082752874040244251e+01,7.654940488052368153e+01,1.455855167968745150e+02,7.749565674928355317e-04
1.756938888888888994e-01,5.952616749955305764e+00,2.083016096341184564e+01,7.655058639780679641e+01,1.454518896748045620e+02,1.064922043710179404e-03
1.787230555555555656e-01,5.955054017772658526e+00,2.083279270375452086e+01,7.655200195312500000e+01,1.450885483183598410e+02,2.974521585717556315e-04
1.817527777777777909e-01,5.957483995000000476e+00,2.083542286333333493e+01,7.655205359141031352e+01,1.445783174531260897e+02,1.124354410545785670e-03
1.847822222222222088e-01,5.959894220999999881e+00,2.083804757400000085e+01,7.655300140380859375e+01,1.443629030908201685e+02,5.799105517303769844e-04
1.878119444444444341e-01,5.962304667999999808e+00,2.084067252533333203e+01,7.655331406529744243e+01,1.439087656494148177e+02,8.926469496304793730e-04
1.908413888888888799e-01,5.964714894000000101e+00,2.084329723600000150e+01,8.045635070292146906e+01,1.438636928378913353e+02,7.208922350857088161e-04
1.938708333333333256e-01,5.967125120000000393e+00,2.084592194666666742e+01,7.655500030517578125e+01,1.439534569453124959e+02,9.686326506551341331e-04
1.968999999999999917e-01,5.969535125000000164e+00,2.084854641666666808e+01,7.655500030517578125e+01,1.440655629638668813e+02,5.204784606379033634e-04
1.999291666666666578e-01,5.971925226666666475e+00,2.085116534216666651e+01,7.655404333114624649e+01,1.438522900878902817e+02,8.989477866444732859e-04
2.029580555555555443e-01,5.974309567999999793e+00,2.085378248390000167e+01,7.655245203908285134e+01,1.442141365527354253e+02,4.764967626822757597e-04
2.059872222222222105e-01,5.976694128000000106e+00,2.085639986565000115e+01,7.655240939585367244e+01,1.444883459296878812e+02,8.123551873147440757e-04
2.090163888888888766e-01,5.979078688000000419e+00,2.085901724740000063e+01,7.655259179560343341e+01,1.446428388789073267e+02,6.942260105671816143e-04
2.120447222222222317e-01,5.981462591999999745e+00,2.086163390910000004e+01,7.655222866185506803e+01,1.449137077480469031e+02,4.511112219134294434e-04
2.150733333333333386e-01,5.983839092166666873e+00,2.086424882896666588e+01,7.655304537963867517e+01,1.443378887568355537e+02,3.520973003541770768e-04
2.181022222222222251e-01,5.986196173499999773e+00,2.086685888310000081e+01,7.655400085449218750e+01,1.440675487539062658e+02,6.168556385409580938e-04
2.211308333333333320e-01,5.988553038666666772e+00,2.086946869786666525e+01,7.655532162857055312e+01,1.438259165810544289e+02,1.226554125944042664e-03
2.241599999999999981e-01,5.990910336166666461e+00,2.087207899136666711e+01,7.655699920654296875e+01,1.435229939433595234e+02,9.360124072021553049e-04
2.271886111111111051e-01,5.993267201333333460e+00,2.087468880613333155e+01,7.173505805079143727e+01,1.429331248457033325e+02,9.845784566583574548e-04
2.302174999999999916e-01,5.995624282666666360e+00,2.087729886026666648e+01,7.655812908554077012e+01,1.428429852880856288e+02,1.071122259814278254e-03
2.332463888888888781e-01,5.997960184000000083e+00,2.087990354879999799e+01,6.990236935170497645e+01,1.427501300468750003e+02,3.621938543262153689e-04
2.362755555555555442e-01,6.000290219000000036e+00,2.088250693579999862e+01,7.491063944498695548e+01,1.426884713945309215e+02,5.883584677573970318e-04
2.393047222222222103e-01,6.002620253999999989e+00,2.088511032279999924e+01,7.655941504542032305e+01,1.422156871669922964e+02,7.344264830030041748e-04
2.423338888888888765e-01,6.004950288999999941e+00,2.088771370979999986e+01,7.234874078369132633e+01,1.419820765605454653e+02,5.965426805480772377e-04
2.453630555555555426e-01,6.007280323999999894e+00,2.089031709680000048e+01,7.655999755859375000e+01,1.417954865712892456e+02,4.525056710981562860e-04
2.483927777777777679e-01,6.009603288833332613e+00,2.089291911188333373e+01,7.655903375498454011e+01,1.418938512109377257e+02,1.003853597173289414e-03
2.514222222222222136e-01,6.011906272500000092e+00,2.089551601224999899e+01,7.655914469401041345e+01,1.422171763515624434e+02,6.281000806002860282e-04
2.544519444444444667e-01,6.014209467333333059e+00,2.089811315073333375e+01,6.953833066685994879e+01,1.420264636777343981e+02,8.648401702434890858e-04
2.574813888888888846e-01,6.016512450999999650e+00,2.090071005109999902e+01,6.953900146484375000e+01,1.417631615322268033e+02,8.240875639254663680e-04
2.605111111111111377e-01,6.018815645833332617e+00,2.090330718958333378e+01,7.169341288248708111e+01,1.415798039423815737e+02,9.884631953952489978e-04
2.635405555555555557e-01,6.021118629500000097e+00,2.090590408994999905e+01,7.568905261230460724e+01,1.416863196748044800e+02,1.043318353903073190e-03
2.665705555555555328e-01,6.023402344500000005e+00,2.090849654379999834e+01,6.954005855051676122e+01,1.414040839980470139e+02,3.067861754548846433e-04
2.695997222222222267e-01,6.025679671999999876e+00,2.091108684479999980e+01,7.656147891108194870e+01,1.411902411621106808e+02,5.168168001648163704e-04
2.726294444444444243e-01,6.027957417166666332e+00,2.091367762086666460e+01,7.656184443410238316e+01,1.411012561035153681e+02,6.787060538357062413e-04
2.756583333333333385e-01,6.030234535833333354e+00,2.091626768433333439e+01,7.378931228637699746e+01,1.410853507109372629e+02,1.614075902293118990e-04
2.786877777777777565e-01,6.032512072166666073e+00,2.091885822286666752e+01,7.103534582519523610e+01,1.409381473251959278e+02,8.533597214223774974e-04
