Time_hours,AE_nT,AL_nT,AU_nT
0.50,48.0,-15.0,33.0
1.50,26.0,-9.0,17.0
2.50,57.0,-16.0,41.0
3.50,273.0,-174.0,99.0
4.50,341.0,-241.0,100.0
5.50,153.0,-61.0,92.0
6.50,310.0,-161.0,149.0
7.50,389.0,-256.0,132.0
8.50,411.0,-234.0,176.0
9.50,408.0,-216.0,191.0
10.50,313.0,-154.0,159.0
11.50,268.0,-148.0,120.0
12.50,213.0,-91.0,122.0
13.50,124.0,-40.0,83.0
14.50,99.0,-55.0,44.0
15.50,255.0,-207.0,48.0
16.50,266.0,-229.0,37.0
17.50,98.0,-65.0,34.0
18.50,36.0,-15.0,21.0
19.50,23.0,-6.0,17.0
20.50,17.0,-2.0,16.0
21.50,22.0,-7.0,15.0
22.50,21.0,-8.0,13.0
23.50,20.0,-7.0,13.0
24.50,28.0,-14.0,15.0
25.50,38.0,-18.0,20.0
26.50,31.0,-17.0,15.0
27.50,35.0,-17.0,18.0
28.50,36.0,-15.0,21.0
29.50,41.0,-14.0,26.0
30.50,40.0,-18.0,22.0
31.50,49.0,-22.0,27.0
32.50,42.0,-19.0,23.0
33.50,36.0,-20.0,16.0
34.50,34.0,-18.0,16.0
35.50,54.0,-25.0,30.0
36.50,259.0,-177.0,82.0
37.50,468.0,-419.0,49.0
38.50,285.0,-213.0,72.0
39.50,62.0,-31.0,31.0
40.50,44.0,-17.0,27.0
41.50,53.0,-31.0,23.0
42.50,44.0,-25.0,19.0
43.50,26.0,-14.0,12.0
44.50,70.0,-36.0,35.0
45.50,36.0,-9.0,28.0
46.50,86.0,-49.0,37.0
47.50,51.0,-20.0,31.0
48.50,41.0,-16.0,25.0
49.50,35.0,-15.0,20.0
50.50,36.0,-13.0,23.0
51.50,46.0,-12.0,35.0
52.50,250.0,-185.0,65.0
53.50,263.0,-186.0,77.0
54.50,125.0,-57.0,68.0
55.50,96.0,-28.0,68.0
56.50,58.0,-33.0,26.0
57.50,66.0,-28.0,39.0
58.50,61.0,-35.0,26.0
59.50,64.0,-38.0,26.0
60.50,63.0,-13.0,50.0
61.50,184.0,-105.0,79.0
62.50,102.0,-52.0,50.0
63.50,39.0,-18.0,22.0
64.50,36.0,-19.0,17.0
65.50,97.0,-77.0,20.0
66.50,90.0,-69.0,21.0
67.50,48.0,-27.0,21.0
68.50,42.0,-22.0,20.0
69.50,20.0,-3.0,18.0
70.50,51.0,-21.0,30.0
71.50,240.0,-187.0,53.0
72.50,159.0,-111.0,47.0
73.50,147.0,-80.0,67.0
74.50,159.0,-49.0,110.0
75.50,170.0,-49.0,121.0
76.50,232.0,-108.0,124.0
77.50,235.0,-136.0,99.0
78.50,317.0,-244.0,73.0
79.50,446.0,-322.0,124.0
80.50,266.0,-169.0,97.0
81.50,211.0,-97.0,114.0
82.50,210.0,-95.0,115.0
83.50,247.0,-109.0,139.0
84.50,223.0,-80.0,143.0
85.50,142.0,-60.0,82.0
86.50,59.0,-37.0,22.0
87.50,63.0,-43.0,20.0
88.50,106.0,-68.0,38.0
89.50,212.0,-130.0,81.0
90.50,293.0,-218.0,75.0
91.50,78.0,-44.0,34.0
92.50,32.0,2.0,34.0
93.50,17.0,1.0,18.0
94.50,17.0,0.0,17.0
95.50,26.0,-5.0,22.0
96.50,31.0,-6.0,25.0
97.50,36.0,-6.0,30.0
98.50,54.0,-8.0,46.0
99.50,150.0,-65.0,85.0
100.50,293.0,-202.0,91.0
101.50,272.0,-155.0,117.0
102.50,239.0,-154.0,85.0
103.50,296.0,-217.0,79.0
104.50,151.0,-71.0,80.0
105.50,102.0,-20.0,82.0
106.50,90.0,-30.0,59.0
107.50,69.0,-11.0,58.0
108.50,52.0,-11.0,40.0
109.50,74.0,-28.0,45.0
110.50,78.0,-28.0,50.0
111.50,44.0,-2.0,42.0
112.50,43.0,-14.0,30.0
113.50,78.0,-30.0,48.0
114.50,36.0,-8.0,28.0
115.50,26.0,6.0,32.0
116.50,32.0,-2.0,30.0
117.50,27.0,0.0,28.0
118.50,27.0,-2.0,25.0
119.50,33.0,-7.0,26.0
120.50,37.0,-11.0,26.0
121.50,42.0,-12.0,30.0
122.50,83.0,-12.0,72.0
123.50,55.0,-10.0,46.0
124.50,63.0,-14.0,49.0
125.50,50.0,7.0,57.0
126.50,468.0,-207.0,260.0
127.50,535.0,-349.0,185.0
128.50,778.0,-717.0,61.0
129.50,630.0,-473.0,158.0
130.50,294.0,-83.0,211.0
131.50,186.0,-29.0,158.0
132.50,319.0,-141.0,178.0
133.50,1473.0,-1155.0,319.0
134.50,1570.0,-1196.0,375.0
135.50,731.0,-480.0,251.0
136.50,898.0,-709.0,189.0
137.50,855.0,-635.0,220.0
138.50,1258.0,-1012.0,246.0
139.50,978.0,-758.0,220.0
140.50,1081.0,-1058.0,23.0
141.50,1186.0,-1145.0,40.0
142.50,457.0,-368.0,89.0
143.50,1168.0,-1172.0,-4.0
144.50,595.0,-470.0,125.0
145.50,215.0,-158.0,57.0
146.50,317.0,-210.0,107.0
147.50,343.0,-232.0,111.0
148.50,273.0,-177.0,96.0
149.50,321.0,-142.0,179.0
150.50,200.0,-120.0,79.0
151.50,237.0,-122.0,115.0
152.50,646.0,-429.0,217.0
153.50,588.0,-366.0,222.0
154.50,447.0,-291.0,156.0
155.50,565.0,-443.0,122.0
156.50,333.0,-182.0,152.0
157.50,235.0,-192.0,42.0
158.50,797.0,-623.0,174.0
159.50,1043.0,-751.0,292.0
160.50,584.0,-429.0,155.0
161.50,333.0,-222.0,112.0
162.50,400.0,-270.0,130.0
163.50,718.0,-534.0,184.0
164.50,589.0,-450.0,139.0
165.50,498.0,-338.0,160.0
166.50,692.0,-457.0,235.0
167.50,745.0,-603.0,142.0
168.50,586.0,-501.0,85.0
169.50,364.0,-266.0,98.0
170.50,415.0,-329.0,86.0
171.50,326.0,-235.0,91.0
172.50,248.0,-166.0,82.0
173.50,216.0,-108.0,108.0
174.50,320.0,-218.0,102.0
175.50,521.0,-375.0,146.0
176.50,481.0,-326.0,155.0
177.50,660.0,-601.0,59.0
178.50,584.0,-435.0,149.0
179.50,530.0,-414.0,116.0
180.50,1134.0,-881.0,253.0
181.50,600.0,-452.0,148.0
182.50,535.0,-347.0,189.0
183.50,245.0,-151.0,93.0
184.50,61.0,-31.0,30.0
185.50,142.0,-94.0,48.0
186.50,162.0,-104.0,58.0
187.50,175.0,-90.0,86.0
188.50,273.0,-171.0,102.0
189.50,380.0,-256.0,124.0
190.50,444.0,-302.0,142.0
191.50,441.0,-327.0,113.0
192.50,508.0,-386.0,122.0
193.50,518.0,-412.0,105.0
194.50,261.0,-162.0,98.0
195.50,241.0,-104.0,137.0
196.50,108.0,-54.0,55.0
197.50,175.0,-90.0,85.0
198.50,611.0,-435.0,176.0
199.50,242.0,-142.0,99.0
200.50,188.0,-97.0,90.0
201.50,546.0,-449.0,96.0
202.50,481.0,-414.0,67.0
203.50,229.0,-152.0,77.0
204.50,159.0,-127.0,32.0
