time_hrs,B_in_out,B_squash,B_left_right
2.450000,0.01985,0.00628,-0.00734
2.466667,-0.06415,0.03271,0.06564
2.483333,-0.03698,-0.03479,0.03031
2.500000,0.03078,0.04127,-0.04311
2.516667,0.03088,-0.00947,-0.00210
2.533333,0.06138,-0.09327,0.02378
2.550000,0.01347,0.04017,-0.03176
2.566667,-0.04634,0.05340,-0.00785
2.583333,-0.01854,-0.00694,0.02905
2.600000,-0.02994,0.00867,-0.05154
2.616667,0.00655,-0.02825,-0.01066
2.633333,0.03857,-0.03725,0.09828
2.650000,-0.02892,0.02321,-0.01318
2.666667,-0.02572,0.06412,-0.10056
2.683333,0.03545,0.02989,0.01169
2.700000,0.03640,-0.02722,0.07184
2.716667,-0.03574,-0.04524,0.00954
2.733333,-0.05598,-0.03885,0.00854
2.750000,0.05437,-0.03528,0.03614
2.766667,0.08165,-0.01756,-0.06591
2.783333,-0.02016,0.08032,-0.10881
2.800000,-0.05604,0.06172,0.00527
2.816667,-0.03303,-0.04567,0.06426
2.833333,-0.01214,0.03290,0.04885
2.850000,0.01113,0.02881,0.03189
2.866667,0.00173,-0.05012,0.01639
2.883333,0.01150,-0.00371,-0.01584
2.900000,0.05195,-0.03172,-0.04989
2.916667,0.02367,-0.02711,-0.04065
2.933333,-0.02026,0.00102,-0.03374
2.950000,-0.02828,-0.02110,0.00795
2.966667,-0.02746,0.05272,0.07688
2.983333,0.00116,0.04777,0.03395
3.000000,-0.00264,0.00462,-0.01884
3.016667,-0.01826,0.02770,-0.00004
3.033333,0.01962,-0.02328,-0.02351
3.050000,0.02411,-0.05225,-0.03451
3.066667,0.01995,-0.03857,0.01795
3.083333,0.03019,-0.01401,0.02041
3.100000,-0.02185,0.02027,-0.02691
3.116667,-0.04127,0.03627,-0.01463
3.133333,-0.00913,0.06371,0.04686
3.150000,0.00654,0.00611,0.03932
3.166667,0.01111,-0.03957,-0.03583
3.183333,-0.03122,-0.03776,-0.04416
3.200000,-0.03993,-0.06414,0.01811
3.216667,-0.00495,-0.03637,0.01562
3.233333,0.08364,0.00311,-0.03102
3.250000,0.16477,0.22398,-0.01110
3.266667,-0.04021,0.23030,0.04282
3.283333,-0.15497,-0.27918,0.06441
3.300000,-0.00814,-0.30857,-0.03207
3.316667,-0.04536,0.04913,-0.13144
3.333333,-0.03683,0.10246,0.01483
3.350000,0.07386,0.15755,0.12158
3.366667,0.05380,0.13159,0.01762
3.383333,0.04231,-0.04086,0.01527
3.400000,0.02107,-0.15185,-0.01613
3.416667,-0.00459,-0.16033,-0.15581
3.433333,-0.04072,0.01172,-0.07522
3.450000,-0.11634,0.09661,0.12592
3.466667,-0.08249,0.05486,0.13469
3.483333,0.08153,0.07332,-0.01016
3.500000,0.17130,0.01364,-0.06923
3.516667,0.07172,-0.05518,0.00410
3.533333,-0.03554,-0.04769,0.01105
3.550000,-0.11240,-0.02669,-0.06257
3.566667,-0.12693,-0.00961,-0.03825
3.583333,-0.01478,-0.00410,0.04621
3.600000,0.03747,0.06086,0.04128
3.616667,0.07901,0.04491,0.01207
3.633333,0.10143,-0.06122,0.03293
3.650000,0.05353,-0.03064,-0.01926
3.666667,0.00220,0.01230,-0.08778
3.683333,-0.16142,0.01086,0.00682
3.700000,-0.14574,0.03011,0.07886
3.716667,0.06747,-0.00937,-0.02772
3.733333,0.06659,-0.04068,-0.10356
3.750000,0.03790,0.01724,-0.00950
3.766667,0.03897,0.10676,0.13702
3.783333,-0.02484,0.09407,0.11006
3.800000,0.00967,-0.07027,-0.03351
3.816667,0.04237,-0.27121,-0.04668
3.833333,-0.01110,-0.21937,-0.04269
3.850000,-0.05966,0.14683,-0.13035
3.866667,-0.05992,0.28690,-0.11057
3.883333,-0.02115,0.13591,0.07239
3.900000,0.00379,0.05385,0.19135
3.916667,0.01286,-0.07449,0.11143
3.933333,0.03829,-0.17626,-0.00490
3.950000,0.08374,-0.11139,-0.07056
3.966667,0.07282,-0.01554,-0.10109
3.983333,-0.02251,0.02817,-0.04379
4.000000,-0.09184,0.03623,0.00710
4.016667,-0.09487,0.08055,-0.00455
4.033333,-0.04263,0.04600,0.02122
4.050000,0.04715,-0.01457,0.05870
4.066667,0.07748,0.01245,0.02126
4.083333,0.03507,-0.03289,-0.01184
4.100000,0.00450,-0.05202,0.02244
4.116667,-0.00979,-0.02239,-0.00909
4.133333,-0.02133,-0.04132,-0.07691
4.150000,0.00647,0.02666,-0.01983
4.166667,0.00554,0.11075,0.04752
4.183333,-0.07586,0.06649,0.00695
4.200000,-0.04554,-0.06085,-0.01701
4.216667,0.06897,-0.04998,0.02258
4.233333,0.02626,0.05054,0.01728
4.250000,0.01252,-0.10342,0.00634
4.266667,0.07956,-0.15346,0.03310
4.283333,-0.01707,0.09944,-0.03858
4.300000,-0.08804,0.13793,-0.09452
4.316667,-0.02752,0.05049,0.01718
4.333333,-0.01271,0.03906,0.06065
4.350000,-0.00493,-0.01910,-0.01886
4.366667,0.02624,-0.07174,-0.00373
4.383333,0.05202,-0.11611,0.07004
4.400000,0.04862,-0.08398,0.03092
4.416667,-0.00646,0.02886,-0.07999
4.433333,-0.03884,0.11762,-0.07174
4.450000,-0.04529,0.12539,0.04105
4.466667,-0.03309,0.02269,0.06220
4.483333,0.01703,-0.00533,-0.01225
4.500000,0.04777,-0.04631,-0.05451
4.516667,0.03246,-0.13841,-0.02860
4.533333,-0.01956,-0.07861,0.03922
4.550000,-0.04753,-0.03804,0.07170
4.566667,-0.05942,0.03100,-0.00129
4.583333,-0.03874,0.10281,-0.03788
4.600000,0.13639,0.18460,0.04477
4.616667,0.22243,0.28801,-0.00469
4.633333,0.01387,-0.14960,-0.14426
4.650000,-0.21103,-0.48542,-0.06662
4.666667,-0.25737,-0.15205,0.11281
4.683333,-0.13033,0.10506,0.12827
4.700000,0.11604,0.23545,0.01054
4.716667,0.29941,0.19334,-0.01895
4.733333,0.24861,0.00585,-0.01838
4.750000,0.02530,-0.09153,-0.10751
4.766667,-0.20901,-0.18465,-0.05240
4.783333,-0.23428,0.02155,0.07742
4.800000,-0.05702,0.17407,0.04239
4.816667,-0.06781,0.00206,-0.03807
4.833333,-0.02065,-0.12875,-0.02161
4.850000,0.25002,-0.20850,0.08120
