time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
0.0083,101.928,-55.7389,76.9159,15374.3,5271.2,1.21489e+06
0.0250,101.904,-55.715,76.8796,15538.4,5290.49,1.28432e+06
0.0417,101.772,-55.5191,76.8508,15610.4,5328.24,1.19908e+06
0.0583,101.523,-55.3442,76.666,15596.2,5344.46,1.20438e+06
0.0750,101.312,-55.2549,76.4887,15631.6,5295,1.31484e+06
0.0917,101.21,-55.3186,76.2899,15554.4,5261.18,1.28055e+06
0.1083,101.138,-55.4055,76.1056,15430.9,5233.67,1.18593e+06
0.1250,101.141,-55.4927,75.9958,15645.1,5306.2,1.30648e+06
0.1417,101.054,-55.4751,75.8799,15702.5,5259.79,1.41222e+06
0.1583,100.963,-55.461,75.7525,15838,5328.78,1.20223e+06
0.1750,100.832,-55.4142,75.6303,15767.1,5314.2,1.19517e+06
0.1917,100.879,-55.5487,75.5832,15727.6,5253.3,1.13748e+06
0.2083,100.857,-55.7196,75.4223,15624.8,5217.15,1.1344e+06
0.2250,100.841,-55.8485,75.3061,15598.6,5260.27,1.22241e+06
0.2417,100.686,-55.8605,75.0744,15587.2,5255.61,1.17098e+06
0.2583,100.529,-55.8635,74.8938,15725.9,5242.35,1.11738e+06
0.2750,100.174,-55.5598,74.6755,15718.1,5277.62,1.02601e+06
0.2917,99.9306,-55.5808,74.3749,15644,5243.64,1.19315e+06
0.3083,99.8623,-55.7773,74.1645,15456.5,5185.15,1.14307e+06
0.3250,100.101,-55.9849,74.2897,15467.7,5173.7,1.21197e+06
0.3417,100.33,-56.1221,74.3847,15394.6,5184.26,1.11535e+06
0.3583,100.287,-56.2319,74.2125,15299.9,5186.68,1.12611e+06
0.3750,100.312,-56.2784,74.2156,15408.3,5232.61,1.18632e+06
0.3917,100.334,-56.2094,74.2899,15518.1,5282.37,1.39026e+06
0.4083,100.4,-56.224,74.2947,15668.8,5269.01,1.57733e+06
0.4250,100.427,-56.3455,74.2029,15502.9,5238.3,1.29e+06
0.4417,100.486,-56.4303,74.2145,15429.3,5268.25,1.27571e+06
